Brand,Motor,Weight g,KV,Prop,T,Data Batt S,V,A,Thrust g,Efficiency,W,RPM,Min Prop,Max Prop,Stator Diameter,Stator height,Data P size,Data P pitch,Prop area,Stator Vol,Stator Volume/Prop Area ratio
Axisflying,AX2812,76,900,HQ9045,70.00%,6,23.89,17.54,1627,3.88,419,11993,7,10,28,12,9,4.5,63.62,7389.03,116.15
Axisflying,AX2812,76,900,HQ9045,80.00%,6,23.84,24.52,2032,3.48,585,13294,7,10,28,12,9,4.5,63.62,7389.03,116.15
Axisflying,AX2812,76,900,HQ9045,90.00%,6,23.79,31.76,2390,3.16,756,14346,7,10,28,12,9,4.5,63.62,7389.03,116.15
Axisflying,AX2812,76,900,HQ9045,100.00%,6,23.73,39.95,2710,2.86,948,15245,7,10,28,12,9,4.5,63.62,7389.03,116.15
Axisflying,AX3115,117,900,HQ9050,30.00%,6,25,3.17,569,7.2,79,5847,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,35.00%,6,25,4.4,702,6.4,110,6521,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,40.00%,6,25,6,858,5.7,150,7195,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,45.00%,6,25,8.22,1046,5.1,206,7859,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,50.00%,6,25,10.78,1292,4.8,270,8533,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,55.00%,6,25,14.18,1580,4.5,355,9209,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,60.00%,6,25,17.01,1781,4.2,425,9883,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,65.00%,6,25,21.25,2004,3.8,531,10557,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,70.00%,6,25,26.1,2279,3.5,653,11231,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,75.00%,6,25,30.43,2558,3.4,761,11905,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,80.00%,6,25,37.35,2831,3,934,12579,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,85.00%,6,25,41.55,3022,2.9,1039,13253,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,90.00%,6,25,47.12,3318,2.8,1178,13924,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,95.00%,6,25,53.17,3545,2.7,1329,14598,9,12,31,15,9,5,63.62,11321.51,177.96
Axisflying,AX3115,117,900,HQ9050,100.00%,6,25,58.4,3753,2.6,1460,15272,9,12,31,15,9,5,63.62,11321.51,177.96
Flashobby,A2807,56,1300,GF7035,40.00%,6,24.74,9.91,817,3.3,245.2,13409,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7035,50.00%,6,24.65,13.28,1012,3.1,327.4,14819,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7035,60.00%,6,24.54,16.89,1202,2.9,414.5,16149,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7035,70.00%,6,24.42,21.1,1410,2.7,515.3,17359,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7035,80.00%,6,24.25,27.09,1680,2.6,656.9,19053,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7035,90.00%,6,24.05,34.22,1942,2.4,823,20426,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7035,100.00%,6,23.94,37.91,2036,2.2,907.6,20874,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7040,40.00%,6,24.74,9.41,780,3.3,232.8,14081,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7040,50.00%,6,24.65,12.7,974,3.1,313.1,15467,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7040,60.00%,6,24.55,16.16,1141,2.9,396.7,16663,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7040,70.00%,6,24.44,20,1346,2.8,488.8,17818,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7040,80.00%,6,24.25,26.36,1626,2.5,639.2,19326,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7040,90.00%,6,24.04,33.79,1908,2.3,812.3,20673,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7040,100.00%,6,23.91,37.46,1996,2.2,895.7,21083,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7042,40.00%,6,24.71,10.03,793,3.2,247.8,12913,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7042,50.00%,6,24.62,13.42,965,2.9,330.4,14327,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7042,60.00%,6,24.51,17.33,1155,2.7,424.8,15577,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7042,70.00%,6,24.37,22.12,1347,2.5,539.1,16867,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7042,80.00%,6,24.18,28.87,1636,2.3,698.1,18311,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1300,GF7042,90.00%,6,23.96,36.35,1809,2.1,870.9,19495,5,7,28,7,7,4.2,38.48,4310.27,112
